pagina,titulo,conteudo,status,id_doc
15,(CO) Consulta Correspondência\CO_0011,"COD_TIPO: CO
NUM_ANTDOC: 11
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Antônio Pinto Nogueira Accioly Neto
ONOMÁSTICO: Leão Gondim de Oliveira
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Envia transparências dos murais ""Guerra"" e ""Paz"", lamentando o mau estado das mesmas, devido à qualidade do material fotográfico.
DATA_INICIO: 1959/05/17",sucesso,CO_0011
16,(CO) Consulta Correspondência\CO_0012,"COD_TIPO: CO
NUM_ANTDOC: 12
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Chita Lequio
ONOMÁSTICO: Carlos Washington Aliseris
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Ex-aluna de Portinari, elogia o mestre e diz sentir saudades da acolhida no Rio. Conta ter estado com Aliseris, em sua passagem por Montevidéu. Comenta sua visita à Quadriennale (di Roma). Ressalta que as obras do artista, que decoram seu apartamento em Roma, são admiradas por todos.
DATA_INICIO: 1935/05/01",sucesso,CO_0012
18,(CO) Consulta Correspondência\CO_0013,"COD_TIPO: CO
NUM_ANTDOC: 13
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Yolanda de Monzer
ONOMÁSTICO:  Van Dongen
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra-se interessada em saber como foi o reencontro de Portinari com seus amigos, na volta ao Brasil. Diz-se sabedora de uma paixão do artista. Pede notícias, incluindo impressões da Itália. Faz referência à ""amizade"" com Van Dongen. Deseja sucesso e manda lembranças a todos.
DATA_INICIO: 1931/01/12",sucesso,CO_0013
22,(CO) Consulta Correspondência\CO_0014,"COD_TIPO: CO
NUM_ANTDOC: 14
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Barclay Acheson
ONOMÁSTICO: Nelson Rockefeller
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Lamenta não poder comparecer ao almoço oferecido por Nelson Rockefeller, em homenagem a Portinari, que será seguido de visita aos quatro murais da Fundação Hispânica da Biblioteca do Congresso.
DATA_INICIO: 1942/01/13",sucesso,CO_0014
23,(CO) Consulta Correspondência\CO_0015,"COD_TIPO: CO
NUM_ANTDOC: 15
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Carlos Washington Aliseris
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Lamnta não ter ido à exposição de Portinari, justificando-se. Reafirma sua amizade, deseja  sucesso nas vendas e boas festas ao casal.
DATA_INICIO: 1934/10/09",sucesso,CO_0015
25,(CO) Consulta Correspondência\CO_0016,"COD_TIPO: CO
NUM_ANTDOC: 16
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Hugo Adami
ONOMÁSTICO: Celso Kelly
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Responde carta de Portinari, reconhecendo a demora. Mostra-se satisfeito em estar fora do país, informando que avisará a data e o vapor em que voltará. Oferece-se para trazer encomenda, estendendo a oferta a Celso Kelly e Olegário Mariano.
DATA_INICIO: 19--/  /",sucesso,CO_0016
27,(CO) Consulta Correspondência\CO_0017,"COD_TIPO: CO
NUM_ANTDOC: 17
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Gelásio Adamoli
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Convida Portinari a participar da 1ª Biennale Internazionale d'Arte Marinara, enviando regulamento e fichas de inscrição.  Expressa o desejo de todo o Comitê organizador de poder contar com a participação dele.
DATA_INICIO: 1951/05/16",sucesso,CO_0017
35,(CO) Consulta Correspondência\CO_0018,"COD_TIPO: CO
NUM_ANTDOC: 18
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Harriet D. Adams
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Envia publicações sobre a exposição de Portinari, realizada na Universidade de Carolina do Norte; elogia, entusiasticamente, seu trabalho, citando especificamente a obra ""Funeral"", e diz esperar contar sempre com sua presença.
DATA_INICIO: 1941/02/26",sucesso,CO_0018
36,(CO) Consulta Correspondência\CO_0019,"COD_TIPO: CO
NUM_ANTDOC: 19
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Antonio Bento
ONOMÁSTICO: Danton Jobim
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta. Comenta ter sabido que o êxito da mostra está quase certo - artístico e financeiro. Informa ter falado com Garibaldi Dantas, de ""O Estado de S. Paulo"", que mostrou-se interessado em publicar nota sobre ele. Pede que Portinari o procure. Dá notícias dos amigos: Jobim está partindo para Paris, Pedrosa seguiu para São Paulo e não tem visto Murilo Mendes.
DATA_INICIO: 1934/12/01",sucesso,CO_0019
38,(CO) Consulta Correspondência\CO_0020,"COD_TIPO: CO
NUM_ANTDOC: 20
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: John B. Adams
ONOMÁSTICO: Bror Dahlberg
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta que as obras de Portinari estão deixando Nova York e seguindo para Detroit. Comunica que está enviando cópia de carta escrita a Julius Fleischman, conhecido patrono das artes (onde sugere que o Ballet Russo acrescente, ao seu repertório, um número de balé brasileiro, inspirado nas pinturas de Portinari, com cenários e figurinos criados pelo mesmo artista e com música de Francisco Mignone). Comenta que Vera Pereira já está estudando esta possibilidade, tendo escrito uma sinopse. Informa que Julius, enviou a idéia do ballet em uma carta diretamente a Massine, diretor do Ballet, e que ele, Adams, enviou uma nota, sobre o assunto, a Nelson Rockefeller. Sugere que Portinari estenda sua visita ao país. Comenta que os alunos sentem falta de Portinari, mas estão satisfeitos com seu sucesso.
DATA_INICIO: 1940/09/20",sucesso,CO_0020
39,(CO) Consulta Correspondência\CO_0021,"COD_TIPO: CO
NUM_ANTDOC: 21
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Alonzo J. Aden
ONOMÁSTICO: Beatrice A. Rudes
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece o recebimento do catálogo da mostra de Portinari, no MoMA, através de Florence Horn. Mostra-se entusiasmado com a possibilidade de apresentar trabalhos do artista em sua Galeria, em abril de 1941.
DATA_INICIO: 1940/11/22",sucesso,CO_0021
40,(CO) Consulta Correspondência\CO_0022,"COD_TIPO: CO
NUM_ANTDOC: 22
PAGINAÇÃO: 3 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Alonzo J. Aden
ONOMÁSTICO: Eleanor Roosevelt
DESTINATARIO: Candido Portinari
MEMO_RESUMO: O diretor da Barnett Aden Gallery cumprimenta Portinari pela exposição em sua galeria, comunicando que Mrs. Roosevelt ficou muito impressionada com suas obras, especialmente com o quadro ""Negro Bride"", tendo prometido visitar os murais da Biblioteca do Congresso.
DATA_INICIO: 1945/01/25",sucesso,CO_0022
43,(CO) Consulta Correspondência\CO_0023,"COD_TIPO: CO
NUM_ANTDOC: 23
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Siegfried Adler
ONOMÁSTICO: Flávio Motta
DESTINATARIO: null
MEMO_RESUMO: Solicita que seja reservada, para aquisição, a tela ""Os Lavradores"", de Portinari
DATA_INICIO: 1954/03/10",sucesso,CO_0023
44,(CO) Consulta Correspondência\CO_0024,"COD_TIPO: CO
NUM_ANTDOC: 24
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Waldomiro Corrêa Silva
ONOMÁSTICO: José Alves
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Trata de um promissor artista, apelidado ""Borrachinha"", protegido de ambos (Waldomiro e Portinari) que está afastando-se da Escola, por saudades da terra natal (Jardinópolis) e de familiares. Pede que Portinari o aconselhe. Desculpa-se por não ter comparecido ao Salão de Maio.
DATA_INICIO: 1937/07/13",sucesso,CO_0024
46,(CO) Consulta Correspondência\CO_0025,"COD_TIPO: CO
NUM_ANTDOC: 25
PAGINAÇÃO: 3 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Suzane Adrien-Bertrand
ONOMÁSTICO: Mário de Andrade
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Cumprimenta Maria, em seu retorno à casa. Comenta leitura de artigo de Mário de Andrade. Diz estar enviando, anexo, um bilhete a Portinari. Envia lembranças a todos.
DATA_INICIO: 1946/12/12",sucesso,CO_0025
49,(CO) Consulta Correspondência\CO_0026,"COD_TIPO: CO
NUM_ANTDOC: 26
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Suzane Adrien-Bertrand
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Informa que fará uma conferência, ""La France au travail"", no Senado, em língua portuguesa. Espera que, na ocasião, o casal já tenha retornado de São Paulo.
DATA_INICIO: 1947/03/08",sucesso,CO_0026
50,(CO) Consulta Correspondência\CO_0027,"COD_TIPO: CO
NUM_ANTDOC: 27
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Ferrucio Agosti
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece a Portinari a doação, à escola, de uma cópia do Auto-Retrato de Leonardo da Vinci.
DATA_INICIO: 1938/05/10",sucesso,CO_0027
51,(CO) Consulta Correspondência\CO_0028,"COD_TIPO: CO
NUM_ANTDOC: 28
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Enrico Bianco
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Estima que a família tenha feito boa viagem. Comenta sobre fotografias de obras. Diz estar às ordens para qualquer coisa que Portinari precise. Envia lembranças a todos.
DATA_INICIO: 1939/03/17",sucesso,CO_0028
52,(CO) Consulta Correspondência\CO_0029,"COD_TIPO: CO
NUM_ANTDOC: 29
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Enrico Bianco
ONOMÁSTICO:  Santa Rosa
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta sobre os afrescos do Ministério da Educação, especialmente ""Mate"", informando que Portinari deve voltar para as provas parciais de 14 de outubro, na Universidade. Manda lembranças a todos, inclusive a Santa Rosa e sra.
DATA_INICIO: 1938/09/24",sucesso,CO_0029
54,(CO) Consulta Correspondência\CO_0030,"COD_TIPO: CO
NUM_ANTDOC: 30
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Bilhete
REMETENTE: Eduardo Duarte de Souza Aguiar
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Apresenta Portinari a uns alunos da Escola Nacional de Belas Artes, que desejam publicar fotos de obras dele. Pede resposta aos portadores.
DATA_INICIO: 1939/09/27",sucesso,CO_0030
55,(CO) Consulta Correspondência\CO_0031,"COD_TIPO: CO
NUM_ANTDOC: 31
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Jacinto Simões
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece, a Portinari e família, a gentil acolhida com que receberam os sócios da instituição.
DATA_INICIO: 1941/03/17",sucesso,CO_0031
56,(CO) Consulta Correspondência\CO_0032,"COD_TIPO: CO
NUM_ANTDOC: 32
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: João Ayres
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece as amabilidades de Portinari, durante sua estadia no Rio de Janeiro. Informa estar enviando recortes de jornais publicados em Lourenço Marques (atual Maputo), Luanda e Lisboa, uma estatueta dos Macondes e votos de Boas Festas.
DATA_INICIO: 1958/12/29",sucesso,CO_0032
57,(CO) Consulta Correspondência\CO_0033,"COD_TIPO: CO
NUM_ANTDOC: 33
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Antônio Aita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Pede informações sobre o transporte das obras, comentando que pode ser necessário adiar-se a viagem.
DATA_INICIO: 1945/10/30",sucesso,CO_0033
58,(CO) Consulta Correspondência\CO_0034,"COD_TIPO: CO
NUM_ANTDOC: 34
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Antônio Aita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Autoriza o envio, por navio, de obras de Portinari. Sugere que o artista siga de trem, informando que conseguirá passagens para retorno por navio.
DATA_INICIO: 1945/11/01",sucesso,CO_0034
59,(CO) Consulta Correspondência\CO_0035,"COD_TIPO: CO
NUM_ANTDOC: 35
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Antônio Aita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Pede que Portinari, apesar das dificuldades de obter passagens de navio, não desista da viagem. Lembra que a Comisión Nacional já anunciou a ida do artista.
DATA_INICIO: 1945/11/03",sucesso,CO_0035
60,(CO) Consulta Correspondência\CO_0036,"COD_TIPO: CO
NUM_ANTDOC: 36
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Antônio Aita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Pede que Portinari informe a data de sua saída do Rio de Janeiro e se há necessidade de reserva de hotel.
DATA_INICIO: 1945/  /",sucesso,CO_0036
61,(CO) Consulta Correspondência\CO_0037,"COD_TIPO: CO
NUM_ANTDOC: 37
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Antônio Aita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Em nome da Comisión Nacional de Bellas Artes, convida Portinari a visitar e realizar uma exposição na Argentina.
DATA_INICIO: 1945/10/16",sucesso,CO_0037
62,(CO) Consulta Correspondência\CO_0038,"COD_TIPO: CO
NUM_ANTDOC: 38
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Antônio Aita
ONOMÁSTICO: Augusto Meyer
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta de Cardim, que está tratando da visita de Portinari à Argentina, com exposição de suas obras. Comenta estar viabilizando também uma outra mostra, de livros brasileiros, objetivando intercâmbio cultural entre os dois países. Diz que o assunto foi, inicialmente, conversado com Augusto Meyer e aceito por Capanema. Quanto à mostra do pintor, informa que os quadros serão transportados por navio, estando sendo providenciadas passagens para o casal Portinari, no mesmo navio. Diz que tentará obter os salões do Museo Nacional de Bellas Artes e que está anexando o carta-convite oficial da Comisión Nacional de Cooperación Intelectual.
DATA_INICIO: 1945/10/16",sucesso,CO_0038
63,(CO) Consulta Correspondência\CO_0039,"COD_TIPO: CO
NUM_ANTDOC: 39
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Rafael Alberti
ONOMÁSTICO: Duiliu Zamfirescu
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Apresentam o escritor e diplomata romeno Duiliu Zamfirescu, para quem pedem boa acolhida, mostrando-se saudosos.
DATA_INICIO: 19--/  /",sucesso,CO_0039
64,(CO) Consulta Correspondência\CO_0040,"COD_TIPO: CO
NUM_ANTDOC: 40
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Eusebio Dworkin
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Pede atenção a sua mãe, que estará de passagem pelo Rio de Janeiro. Envia lembranças ao casal Dworkin.
DATA_INICIO: 1948/11/08",sucesso,CO_0040
66,(CO) Consulta Correspondência\CO_0041,"COD_TIPO: CO
NUM_ANTDOC: 41
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Eusebio Dworkin
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Apresenta os Dworkin que, na guerra espanhola, fizeram parte da resistência polaca, e vão viver no Rio de Janeiro, precisando de amigos. Informa que são portadores do dinheiro arrecadado com a venda de um quadro na mostra da Hebraica.
DATA_INICIO: 1948/09/03",sucesso,CO_0041
68,(CO) Consulta Correspondência\CO_0042,"COD_TIPO: CO
NUM_ANTDOC: 42
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Bilhete
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Olga Ugaste
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Apresenta Olga Ugaste e uma amiga, pelas quais envia abraços.
DATA_INICIO: 19--/  /",sucesso,CO_0042
69,(CO) Consulta Correspondência\CO_0043,"COD_TIPO: CO
NUM_ANTDOC: 43
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Clara Ramos
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Cumprimenta os Portinari, regozijando-se pela melhora da saúde de Portinari e pelos êxitos alcançados. Cita frase de Portinari, onde alude ao fato de ser ""papa"" em pintura. Convida-os a visitá-los em Buenos Aires. Informa que Rafael Alberti escreveu novo livro e prepara-se para celebrar, com poemas, o tricentenário de Cadiz, sua cidade natal na Espanha. Dá notícias da filha. Comenta sobre tarefas domésticas e elogia reproduções de Cangaceios. Pergunta por Clara Ramos e pelos Dworkin.
DATA_INICIO: 1953/06/02",sucesso,CO_0043
71,(CO) Consulta Correspondência\CO_0044,"COD_TIPO: CO
NUM_ANTDOC: 44
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Comunica o adiamento da viagem ao Rio de Janeiro, convidando os Portinari a irem a Buenos Aires.
DATA_INICIO: 1948/02/17",sucesso,CO_0044
73,(CO) Consulta Correspondência\CO_0045,"COD_TIPO: CO
NUM_ANTDOC: 45
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Comenta sobre as dificuldades da vida na Argentina, sobre a próxima ida de Portinari a Praga, sobre o crescimento da filha. Mostra-se meio amendrontada.
DATA_INICIO: 1948/06/04",sucesso,CO_0045
75,(CO) Consulta Correspondência\CO_0046,"COD_TIPO: CO
NUM_ANTDOC: 46
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Enrique Amorim
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Justifica-se pela viagem novamente adiada, por motivo de saúde da filha. Avisa que Rafael Alberti fará conferência sobre seu livro sobre pintura. Comenta ter recebido foto de Portinari, na sala de sua casa, enviada por Amorim. E que Neruda encontra-se em Salto com o mesmo Amorim. Pede que Maria pague uma conta que deve à casa Fuentes, em Montevidéu, acertando depois com ela.
DATA_INICIO: 1948/04/26",sucesso,CO_0046
77,(CO) Consulta Correspondência\CO_0047,"COD_TIPO: CO
NUM_ANTDOC: 47
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Apresenta os amigo Lucienne e S____ (ilegível), que estão indo estudar no Rio de Janeiro. Pergunta pela saúde de Portinari.
DATA_INICIO: 19--/  /",sucesso,CO_0047
78,(CO) Consulta Correspondência\CO_0048,"COD_TIPO: CO
NUM_ANTDOC: 48
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Jorge Viladrich
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Relata a injusta prisão de Jorge Viladrich, filho do pintor Miguel Viladrich. Pede ajuda a Portinari na mobilização de pessoas influentes, para que se evite a expulsão de Jorge, cidadão espanhol, da Argentina.
DATA_INICIO: 1954/08/04",sucesso,CO_0048
79,(CO) Consulta Correspondência\CO_0049,"COD_TIPO: CO
NUM_ANTDOC: 49
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO:  Gonzalo de Sebastian
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Apresenta o médico Gozalo de Sebastian, também portador do último livro de Tereza. Comenta que a exposição, no Museo de Bellas Artes, dos trabalhos sobre Isarel está sendo um sucesso de público. Informa que passará, breve, pelo Rio, a caminho da Venezuela.
DATA_INICIO: 1959/  /",sucesso,CO_0049
81,(CO) Consulta Correspondência\CO_0050,"COD_TIPO: CO
NUM_ANTDOC: 50
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Comunica sua próxima ida ao Rio de Janeiro. Pede maiores informações sobre o tipo de casa desejada por eles, avisando que moradia é um grande problema em Buenos Aires e custa muito caro.
DATA_INICIO: 1948/04/06",sucesso,CO_0050
83,(CO) Consulta Correspondência\CO_0051,"COD_TIPO: CO
NUM_ANTDOC: 51
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Bilhete
REMETENTE: Maria Thereza Alberti
ONOMÁSTICO: Estela Canto de Varela
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Apresenta Estela Canto de Varela aos Portinari.
DATA_INICIO: 19--/  /",sucesso,CO_0051
84,(CO) Consulta Correspondência\CO_0052,"COD_TIPO: CO
NUM_ANTDOC: 52
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Rafael Alberti
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comunica dia e hora de sua chegada ao Rio de Janeiro.
DATA_INICIO: 1948/01/22",sucesso,CO_0052
86,(CO) Consulta Correspondência\CO_0053,"COD_TIPO: CO
NUM_ANTDOC: 53
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Rafael Alberti
ONOMÁSTICO: Cota Supervielle
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Rafael envia saudação e apresenta Cota Supervielle, casada com Henri Supervielle, filho de um poeta francês, que Portinari conhece. Maria Teresa informa que Cota é uruguaia e encantadora e dará notícias dos Albertis.
DATA_INICIO: 19--/  /",sucesso,CO_0053
88,(CO) Consulta Correspondência\CO_0054,"COD_TIPO: CO
NUM_ANTDOC: 54
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Telegrama
REMETENTE: Rafael Alberti
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comunica a impossibilidade de conseguir passagem para uma viagem que não está especificada.
DATA_INICIO: 1948/02/17",sucesso,CO_0054
