pagina,id_doc,remetente,destinatario,data,tipo_doc,onomastico,memo_resumo
75,CO_0046,Maria Thereza Alberti,Maria Portinari,26/04/1948,Carta,Enrique Amorim,"Justifica-se pela viagem novamente adiada, por motivo de saúde da filha. Avisa que Rafael Alberti fará conferência sobre seu livro sobre pintura. Comenta ter recebido foto de Portinari, na sala de sua casa, enviada por Amorim. E que Neruda encontra-se em Salto com o mesmo Amorim. Pede que Maria pague uma conta que deve à casa Fuentes, em Montevidéu, acertando depois com ela."
77,CO_0047,Maria Thereza Alberti,Maria Portinari,/  /19--,Carta,null,"Apresenta os amigo Lucienne e S____ (ilegível), que estão indo estudar no Rio de Janeiro. Pergunta pela saúde de Portinari."
78,CO_0048,Maria Thereza Alberti,Candido Portinari,04/08/1954,Carta,Jorge Viladrich,"Relata a injusta prisão de Jorge Viladrich, filho do pintor Miguel Viladrich. Pede ajuda a Portinari na mobilização de pessoas influentes, para que se evite a expulsão de Jorge, cidadão espanhol, da Argentina."
79,CO_0049,Maria Thereza Alberti,Maria Portinari,/  /1959,Carta,Gonzalo de Sebastian,"Apresenta o médico Gozalo de Sebastian, também portador do último livro de Tereza. Comenta que a exposição, no Museo de Bellas Artes, dos trabalhos sobre Isarel está sendo um sucesso de público. Informa que passará, breve, pelo Rio, a caminho da Venezuela."
81,CO_0050,Maria Thereza Alberti,Maria Portinari,06/04/1948,Carta,null,"Comunica sua próxima ida ao Rio de Janeiro. Pede maiores informações sobre o tipo de casa desejada por eles, avisando que moradia é um grande problema em Buenos Aires e custa muito caro."
83,CO_0051,Maria Thereza Alberti,Maria Portinari,/  /19--,Bilhete,Estela Canto de Varela,Apresenta Estela Canto de Varela aos Portinari.
84,CO_0052,Rafael Alberti,Candido Portinari,22/01/1948,Telegrama,null,Comunica dia e hora de sua chegada ao Rio de Janeiro.
86,CO_0053,Rafael Alberti,Maria Portinari,/  /19--,Carta,Cota Supervielle,"Rafael envia saudação e apresenta Cota Supervielle, casada com Henri Supervielle, filho de um poeta francês, que Portinari conhece. Maria Teresa informa que Cota é uruguaia e encantadora e dará notícias dos Albertis."
88,CO_0054,Rafael Alberti,Candido Portinari,17/02/1948,Telegrama,null,Comunica a impossibilidade de conseguir passagem para uma viagem que não está especificada.
89,CO_0055,Ribeiro Couto,Candido Portinari,06/01/1939,Carta,Manuel Bandeira,"Acusa recebimento do catálogo da exposição (MNBA), enviado por Manuel (Bandeira), elogiando o texto escrito por Mário de Andrade e tecendo comentários sobre algumas obras. Compara o ""Retrato de Minha Mãe"" aos retratos dos pintores flamengos; comenta a composição ""Nega Fulô"" e o desenho para um afresco, um ""Homem Sentado"". Pede o envio deste último e, ainda, dois catálogos. Propõe comprar uma paisagem, requerida em carta anterior, para pagar em prestações."
91,CO_0056,Rafael Alberti,Candido Portinari,/12/1962,Cartão,null,"Em papel carta, ilustrado por Rafael Alberti, envia votos de felicitades. Comunica que o editor Losada interessou-se pela publicação dos poemas de Portinari, propondo-se a traduzí-los."
92,CO_0057,Rafael Alberti,Candido Portinari,08/12/1959,Carta,null,"Pede que Portinari idealize um cartaz para divulgar a 1ª Conferência Sulamericana Pró-Anistia dos presos e exilados políticos da Espanha e Portugal, a realizar-se em São Paulo."
93,CO_0058,Rafael Alberti,Candido Portinari,16/12/1954,Cartão-postal,null,"Envia votos de Boas Festas, avisando que breve mandará alguns livros."
95,CO_0059,Rafael Alberti,Candido Portinari,31/07/1950,Carta,Eugenio Luraghi,"Comenta ter enviado longa carta a ele, em Paris, suspeitando que ela não foi recebida, sabedor que Portinari está no Rio. Pergunta sobre a viagem de Portinari à Europa e se resolveu seus problemas com o ""realismo"". Estranha ter sabido que o artista pintou cavalos coloridos. Pede fotos de obras novas. Informa ter escrito uma ""Cantata por la Paz"", que será musicada por um compositor que vive em Paris e enviada ao concurso organizado pelo Comitê Mundial dos Partidários da Paz. Dá e pede notícias dos familiares."
96,CO_0060,Rafael Alberti,Candido Portinari,16/08/1949,Carta,null,"Informa que o Museu de São Paulo convidou-o a dar duas conferências. Numa delas, leria os poemas sobre a pintura, especialmente o poema que dedicou a Portinari."
97,CO_0061,Rafael Alberti,Candido Portinari,14/01/1949,Carta,null,"Agradece os 150 pesos uruguaios enviados pelo amigo. Comenta a próxima exposição de Portinari em Punta del Este, em cujo catálogo será publicado um texto, seguido de poema que Alberti dedicou a Portinari. Faz planos para a segunda edição de seu livro ""A pintura"", onde incluiria Portinari, em novo capítulo, sobre pintores posteriores a Picasso."
98,CO_0062,Rafael Alberti,Candido Portinari,14/08/1948,Carta,Jorge Romero Brest,"EDiz estar enviando dois exemplares da revista ""Ver y Estimar"", dirigida por Romero Brest, que trata da exposição de Portinari na Sociedade Hebraica, em Buenos Aires. Convida o pintor para passar o verão em La Gallarda, Punta del Este, onde poderia expor e rever seu mural."
99,CO_0063,Rafael Alberti,Candido Portinari,/09/1948,Carta,Eusebio Dworkin,"Apresenta os Dworkin, da Legação da Polônia no Brasil, pedindo que Portinari os oriente e ajude, informando que são portadores de cinco autógrafos e também 100 pesos, relativos a vendas na mostra da Hebraica."
100,CO_0064,Rafael Alberti,Candido Portinari,05/10/1949,Carta,Eugenio Luraghi,"Comenta ter estado ocupado com conferência que pronunciou na Sociedade Hebraica. Avisa que não foi confirmada a conferência no Museu de Arte Moderna de São Paulo, pedindo que Portinari pocure obter informações. Envia comentários que Eugenio Luraghi dedicou a Portinari, em Milão. Comenta as fotos enviadas, ainda que não muito boas, do painel ""Tiradentes""."
101,CO_0065,Rafael Alberti,Candido Portinari,29/10/1949,Carta,Ginés Parra,"Informa que desistiu de ministrar as conferências, em São Paulo. Lamenta as dificuldades em empreender uma viagem à Europa. Apresenta um pintor espanhol, Ginés Parra, que gostaria de expor no Brasil. Comenta o projeto de realização de dois filmes sobre Portinari - um curta metragem, com base no poema dele próprio, Alberti, e outro sobre o painel ""Tiradentes""."
103,CO_0066,Rafael Alberti,Candido Portinari,22/10/1948,Carta,Manuel Angeles Ortiz,"Deseja saber se Portinari encontrou-se, no Rio, com o pintor Manolo Angeles, que estava a caminho de Paris, como tantos refugiados da Guerra Civil Espanhola. Alberti, também refugiado, comenta seus problemas longe da pátria. Acusa recebimento de livro de Murilo Mendes, elogiando sua poesia. Envia saudações a Manuel Bandeira também."
104,CO_0067,Rafael Alberti,Candido Portinari,09/03/1948,Carta,Enrique Amorim,"Comenta sobre o quadro ""A Floresta"", pintado por Portinari para os Litman. Informa que Teresa Alberti encontrar-se-á com o pintor em Punta del Este, onde poderá admirar a tela dos Litman, bem como o d' ""A Primeira Missa"". Pergunta por amigos comuns. Reitera convite a Portinari para visitá-los."
105,CO_0068,Rafael Alberti,Candido Portinari,10/02/1958,Carta,Marta A. de Estrin,"Faz-se de mediador de convite para Portinari expor desenhos e gravuras na galeria de arte Viscontea, de Marta Estrin, amiga de Alberti."
106,CO_0069,Rafael Alberti,Candido Portinari,23/03/1951,Carta,Alberto Cavalcanti,"Relata sua viagem à Europa, com especial ênfase à Itália, onde esteve com Luraghi. Informa ter visto o filme sobre o painel ""Tiradentes"", de que gostou bastante. Comenta estar vivendo da venda de seus poemas, ilustrados com desenhos."
107,CO_0070,Rafael Alberti,Candido Portinari,02/11/1950,Bilhete,null,"Informa estar se preparando para embarcar rumo à Europa, esperando encontrá-lo. Avisará quando chegar."
108,CO_0071,Rafael Alberti,Candido Portinari,27/05/1950,Carta,Enrique Amorim,"Comenta sobre a pintura mural que Portinari executou no salão da casa dele, Alberti, em Punta del Este. Diz ter incluído, em seu livro ""Versos e prosas de Punta del Este"", uma crônica a respeito da execução do referido mural. Comenta a viagem de Portinari à Europa e as notícias contadas por Luraghi. Informa ter estado com Enrique Amorim e que vai a Montevidéu com Toño Salazar. Mostra-se desejoso de ir-se de Buenos Aires, pensando na casa de Punta del Este, mas lastima-se dos parcos recursos com que é obrigado a viver."
109,CO_0072,Rafael Alberti,Candido Portinari,31/12/1952,Carta,Graciliano Ramos,"Deseja Boas Festas, informa estar enviando seu novo livro e lamenta os 13 anos de desterro. Fala de seu desejo de encontrar-se com o pintor. Pergunta por Graciliano Ramos."
110,CO_0073,Rafael Alberti,Candido Portinari,13/04/1952,Carta,María Rosa Oliver,"Relata as dificuldades para conseguir passaporte na Argentina, sendo ele exilado político. Comenta sobre a situação política da América do Sul. Informa ter recebido notícias de Portinari através de María Rosa, que elogiou a pintura mural que Portinari executou em casa de Alberti, em Punta del Este."
111,CO_0074,Rafael Alberti,Candido Portinari,19/05/1953,Carta,Graciliano Ramos,"Sabedor que Portinari encontra-se enfermo, aconselha o amigo a cuidar-se, trabalhando menos. Acredita que o pintor precisa legar à posteridade uma obra maior que a de Ticiano, precisando de saúde."
112,CO_0075,Rafael Alberti,Candido Portinari,28/03/1954,Carta,Jesualdo Sosa,"Agradece o envio, elogiando o catálogo da mostra de Portinari em São Paulo. Cita amigos comuns. Comenta sobre seu trabalho e a situação política da Espanha."
113,CO_0076,Rafael Alberti,Candido Portinari,09/06/1954,Bilhete,null,"Envia abraços pelos portadores da carta, amigos e interessados na pintura de Portinari. Comenta o êxito da mostra do pintor sobre Israel, em Buenos Aires."
114,CO_0077,Rafael Alberti,Candido Portinari,23/07/1948,Carta,Manuel Bandeira,"Pede notícias dos trabalhos de Portinari, tendo notado, nele, um certo desinteresse em ir à Tchecoeslováquia. Aconselha que o pintor fique em sua terra, aproveitando tudo que ela lhe dá, para sua pintura. Informa ter recebido carta de Bandeira, mostrando-se receoso de haver algum problema com uma certa ""florzinha"" que Portinari mandou Alberti pintar em uma dedicatória."
117,CO_0078,Lucio Costa,Candido Portinari,06/04/1939,Carta,Armando Vidal,"Informa que os painéis de Portinari já foram embarcados e que a escultura de Celso Antonio ficou pronta, um e outro se completando na arquitetura. Avisa que escreveu a Vidal, despreocupando-o quanto à excelência dos painéis."
118,CO_0079,Rafael Alberti,Candido Portinari,07/01/1951,Cartão-postal,null,"Sobrevoando o Rio de Janeiro, rumo a Buenos Aires, envia abraços à família Portinari."
120,CO_0080,Rafael Alberti,Candido Portinari,/  /1948,Telegrama,null,Felicita Portinari pela magnífica inauguração.
121,CO_0081,Rafael Alberti,Candido Portinari,/05/1953,Carta,null,"Recomendam (a carta é assinada por várias pessoas) um escritor mexicano (nome ilegível), que leva abraços de todos."
122,CO_0082,Rafael Alberti,Candido Portinari,/12/1957,Cartão-postal,null,"Pede notícias de Portinari, comentando que tem sabido dos triunfos recentes dele, pelos jornais. Deseja feliz ano à família Portinari."
124,CO_0083,Alexandre de Albuquerque,Candido Portinari,09/02/1936,Carta,null,"Alexandre, um dos fundadores da Sociedade Paulista de Belas Artes, cumprimenta Portinari, pelo prêmio do Carnegie Institute, em 1935. Comenta que a Pinacoteca de São Paulo lhe agradecerá, um dia, por ter comprado (para ela) um quadro de Portinari. Lamenta a má organização do Salão Paulista de Belas Artes."
126,CO_0084,Georgina de Albuquerque,Maria Portinari,14/04/1954,Carta,Lucílio de Albuquerque,"Agradeço o texto escrito por Portinari, em homenagem aos 15 anos de falecimento de Lucílio Albuquerque, a ser lido na Rádio Roquete Pinto."
127,CO_0085,Georgina de Albuquerque,Candido Portinari,20/07/1954,Carta Circular,null,"Informa sobre a realização de um Congresso de Artes Plásticas, em Veneza, devendo a Delegação do Brasil ser formada por quatro artistas. Pergunta se Portinari deseja fazer parte da Delegação, listando hotéis onde podem ser solicitadas acomodações."
128,CO_0086,Lucílio de Albuquerque,Candido Portinari,01/12/1938,Carta,Gustavo Capanema,"Lamenta não poder admirar os trabalhos de Portinari no Ministério da Educação, por motivo de saúde, e pede que o pintor interfira, a seu favor, junto a Gustavo Capanema, numa proposta de aquisição, pelo MNBA, do seu (de Lucílio) quadro ""Retrato""."
129,CO_0087,Paulo de Medeiros e Albuquerque,Candido Portinari,14/11/1941,Carta,null,"Lembra a Portinari que é o repórter que entrevistou-o para a revista ""Dom Casmurro"", ocasião em que o pintor prometeu enviar-lhe reprodução de um quadro seu. Reclama a promessa feita, incluindo pedido de autógrafo na reprodução, informando estar preparando álbum de pintores das 3 Américas, onde Portinari seria destaque."
130,CO_0088,Maria Aldunate C.,Candido Portinari,27/09/1938,Carta,null,"Informa que Portinari receberá exemplares da ""Revista de Arte"" da Faculdade de Belas Artes de Santiago do Chile, pelo prazo de um ano."
131,CO_0089,Vera Pacheco Jordão,Candido Portinari,10/01/1941,Carta,Lischine,Fala do balé que vai enviar a Lischine e que precisa de duas reproduções para o Colonel de Basil conhecer a obra de Portinari. Comenta que Mignone vai fazer a música e que vai enviar a Toscanini a partitura de três músicas suas.
132,CO_0090,Alencastro Guimarães,Candido Portinari,18/05/1950,Carta,null,"Comunica a Portinari que mão encontrou as tabuinhas próprias para pintura que lhe foram encomndadas e, por isso, envia as que pode encontrar."
133,CO_0091,Miguel Salinas Alias,Maria Portinari,17/09/1952,Carta,null,"Solicita dinheiro para comprar passagem para São Paulo, onde requereu e deve receber benefício a que tem direito no I.A.P.I."
135,CO_0092,Violeta Corrêa de Azevedo,Maria Portinari,28/11/1941,Carta,Fernando Sabóia,"Trata de sua viagem pelos Estados Unidos, comentando ter visto um quadro de Portinari em casa de um primo, Fernando Sabóia, que adorou!"
137,CO_0093,Violeta Corrêa de Azevedo,Maria Portinari,/  /19--,Carta,null,"Convida os Portinaris para um jantar íntimo, com outros casais brasileiros."
138,CO_0094,Carlos Washington Aliseris,Candido Portinari,/  /1936,Cartão,Pedro Figari,Comenta que o Chefe da Divisão de Cooperação Intelectual e a Divisão de Ralações Culturais do Uruguai estão programando exposição de Figari no Rio de Janeiro.
140,CO_0095,Carlos Washington Aliseris,Maria Portinari,01/01/1944,Cartão,null,Envia felicitações aos Portinaris.
142,CO_0096,Carlos Washington Aliseris,Candido Portinari,/12/1946,Cartão,null,"Avisa de sua chegada, envia votos de bom 1947 e oferece sua residência em Copacabana."
144,CO_0097,Carlos Washington Aliseris,Candido Portinari,15/02/1936,Carta,Elena Sansinueva de Elizalde,"Lamenta não poder comparecer ao carnaval carioca, estimula Portinari ao trabalho com afrescos, pede conselhos sobre sua próxima viagem à Europa. Encoraja Portinari a expor no Uruguai e em Buenos Aires, com uma conferência de Mário de Andrade, pedindo confirmação, para que seja conversado com o Embaixador Lucillo Bueno. Dá notícias de Raquelita e de Elena. Comenta a inércia do movimento artístico local, admitindo sua predisposição a não fazer nada. Relata ter sido detido por pintar na Avenida Alem, por estar atrpalhando a circulação na rua. Tece considerações sobre suas dificuldades de realização artística."
150,CO_0098,Carlos Washington Aliseris,Candido Portinari,27/01/1935,Carta,null,"Propõe que Portinari faça uma ilustração, a ser publicada por um boletim musical, para o capítulo que trata de ""La Trutuca"", um instrumento musical dos índio araucanos."
151,CO_0099,Carlos Washington Aliseris,Candido Portinari,03/12/1935,Carta,null,"Felicita Portinari por seu triunfo (premiação no Carnegie). Informa ter conseguido apoio governamental para seus estudos de aperfeiçoamento na Europa. Comenta que gostaria de fazer uma conferência na Universidade do Rio de Janeiro, pedindo opinião de Portinari. Avisa estar enviando catálogo do Salão Argentino, para o qual enviou duas obras."
153,CO_0100,Carlos Washington Aliseris,Candido Portinari,30/03/1935,Carta,Mário de Andrade,"Mostra-se penalizado porque Portinari não recebeu os convites enviados por Amigos del Arte. Elogia o retrato que Portinari pintou de Mário de Andrade. Informa que a ilustração que o artista realizou para o ""Suplemento Musical"" será publicada e que o original passará à propriedade da sra. Aliseris. Pede que Portinari se empenhe em ir a Buenos Aires"
155,CO_0101,Carlos Washington Aliseris,Candido Portinari,/  /1935,Bilhete,Getulio Vargas,"Envia as plantas das salas de Amigos del Arte, em Buenos Aires e em Montevidéu, para uma possível exposição, que tentará fazer coincidir com a visita do presidente Vargas a Buenos Aires."
158,CO_0102,Carlos Washington Aliseris,Candido Portinari,25/01/1935,Carta,Getulio Vargas,"Cumprimenta o artista pelo sucesso de sua exposição; pede que faça uma ilustração para a capa do ""Boletim Interamericano de Músoca"", que trará um trabalho de Mário de Andrade; comenta sobre a possibilidade de conseguir os salões de Amigos del Arte para Portinari expor, tentando que coincida com a visita do Presidente Vargas. Pede o envio de fotos de obras, para publicá-las. Informa ter recebido um prêmio do Ministério de Instrução Pública."
160,CO_0103,Carlos Washington Aliseris,Maria Portinari,/  /19--,Bilhete,null,"Cumprimenta os Portinaris e envia seu endereço em Paris, pedindo que escreva."
