titulo,conteudo
(CO) Consulta Correspondência\CO_5371,"COD_TIPO: CO
NUM_ANTDOC: 5371
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Mostra-se penalizado pelo fato de Portinari não ter ido à exposição de suas obras em Detroit. Diz estar enviando fotos. Informa que as telas foram enviadas ao Museum of Modern Art de Nova York e que serão expostas em outros quatro museus.  Mostra-se interessado em adquirir uma obra de Portinari, caso venha a conseguir a verba necessária.
DATA_INICIO: 1940/10/01"
(CO) Consulta Correspondência\CO_5372,"COD_TIPO: CO
NUM_ANTDOC: 5372
PAGINAÇÃO: 3 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oswaldo Scatena
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Trata de assuntos pessoais, comentando o sucesso das obras que Portinari realizou para a Igreja Matriz de Batatais.
DATA_INICIO: 1953/03/31"
(CO) Consulta Correspondência\CO_5372,
(CO) Consulta Correspondência\CO_5372,
(CO) Consulta Correspondência\CO_5373,"COD_TIPO: CO
NUM_ANTDOC: 5373
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Oswaldo Scatena
ONOMÁSTICO: Lafayette Carvalho Toledo
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Agradece os recortes de jornal enviados, sobre a exposição de Portinari. Relata a visita do professor Lafayete Carvalho Toledo, da Escola de Belas Artes de Araraquara, que levou seus alunos para estudarem as telas da Igreja Matriz de Batatais, pronunciando uma conferência sobre o artista na sede da Sociedade 14 de Março.
DATA_INICIO: 1953/05/25"
(CO) Consulta Correspondência\CO_5373,
(CO) Consulta Correspondência\CO_5374,
(CO) Consulta Correspondência\CO_5375,
(CO) Consulta Correspondência\CO_5375,
(CO) Consulta Correspondência\CO_5376,
(CO) Consulta Correspondência\CO_5377,
(CO) Consulta Correspondência\CO_5377,
(CO) Consulta Correspondência\CO_5377,
(CO) Consulta Correspondência\CO_5378,
(CO) Consulta Correspondência\CO_5379,"COD_TIPO: CO
NUM_ANTDOC: 5379
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Relata o sucesso obtido pela exposição realizada no Detroit Institute of Arts e o interesse demonstrado por diversos outros museus em apresentá-la. Pergunta o preço da tela ""The Scarecrow"", mostrando-se interessado em adquiri-la para o museu.
DATA_INICIO: 1940/08/23"
(CO) Consulta Correspondência\CO_5380,
(CO) Consulta Correspondência\CO_5381,
(CO) Consulta Correspondência\CO_5382,
(CO) Consulta Correspondência\CO_5383,
(CO) Consulta Correspondência\CO_5383,
(CO) Consulta Correspondência\CO_5384,
(CO) Consulta Correspondência\CO_5385,
(CO) Consulta Correspondência\CO_5386,
(CO) Consulta Correspondência\CO_5387,"COD_TIPO: CO
NUM_ANTDOC: 5387
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Paul Schilder
ONOMÁSTICO: null
DESTINATARIO: Lenore Browning
MEMO_RESUMO: Mostra-se interessado em adquirir algumas obras de Portinari, identificando-as através de seus números na exposição no Museum of Modern Art de Nova York. Informa ter escrito uma carta igual à Portinari.
DATA_INICIO: 1940/12/11"
(CO) Consulta Correspondência\CO_5387,
(CO) Consulta Correspondência\CO_5388,"COD_TIPO: CO
NUM_ANTDOC: 5388
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Paul Schilder
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Mostra-se interessado em adquirir uma obra de Portinari, em meio a três (fornece seus números), da exposição do Museum of Modern Art de Nova York. Informa ter escrito uma carta igual à Lenore Browning.
DATA_INICIO: 1940/12/11"
(CO) Consulta Correspondência\CO_5388,
(CO) Consulta Correspondência\CO_5389,
(CO) Consulta Correspondência\CO_5390,
(CO) Consulta Correspondência\CO_5391,"COD_TIPO: CO
NUM_ANTDOC: 5391
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William R. Valentiner
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Acusa recebimento de carta de Portinari, mostrando-se bastante receptivo à idéia de organizar uma exposição com as obras do pintor. Comenta ter visto suas telas para a Feira Mundial de Nova York, uma ou duas no Museum of Modern Art de Nova York e lido um artigo sobre ele. Acha ótimo promover um intercâmbio cultural entre os dois países (Brasil e Estados Unidos).
DATA_INICIO: 1940/03/08"
(CO) Consulta Correspondência\CO_5392,
(CO) Consulta Correspondência\CO_5393,
(CO) Consulta Correspondência\CO_5394,
(CO) Consulta Correspondência\CO_5395,
(CO) Consulta Correspondência\CO_5395,
(CO) Consulta Correspondência\CO_5396,
(CO) Consulta Correspondência\CO_5397,
(CO) Consulta Correspondência\CO_5397,
(CO) Consulta Correspondência\CO_5398,
(CO) Consulta Correspondência\CO_5398,
(CO) Consulta Correspondência\CO_5399,
(CO) Consulta Correspondência\CO_5399,
(CO) Consulta Correspondência\CO_5399,
(CO) Consulta Correspondência\CO_5400,
(CO) Consulta Correspondência\CO_5401,
(CO) Consulta Correspondência\CO_5402,
(CO) Consulta Correspondência\CO_5403,
(CO) Consulta Correspondência\CO_5403,
(CO) Consulta Correspondência\CO_5404,
(CO) Consulta Correspondência\CO_5405,
(CO) Consulta Correspondência\CO_5405,
(CO) Consulta Correspondência\CO_5406,
(CO) Consulta Correspondência\CO_5407,
(CO) Consulta Correspondência\CO_5408,
(CO) Consulta Correspondência\CO_5408,
(CO) Consulta Correspondência\CO_5409,
(CO) Consulta Correspondência\CO_5410,
(CO) Consulta Correspondência\CO_5410,
(CO) Consulta Correspondência\CO_5411,
(CO) Consulta Correspondência\CO_5412,
(CO) Consulta Correspondência\CO_5412,
(CO) Consulta Correspondência\CO_5413,
(CO) Consulta Correspondência\CO_5414,
(CO) Consulta Correspondência\CO_5415,"COD_TIPO: CO
NUM_ANTDOC: 5415
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Juan Uribe-Echevarria
ONOMÁSTICO: Hernan Muñoz Garrido
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Comenta ter tido notícias do artista através de declarações de Israel Roa aos jornais e por entrevista do jornalista Muñoz Hernán. Informa que a Editorial Losada, de Buenos Aires, está interessada em publicar uma monografia de arte sobre Portinari, em sua ""Série Americana"". Propõe-se a fazer o trabalho, caso o artista autorize, solicitando-lhe o envio de algumas reproduções de obras, a cores.
DATA_INICIO: 1944/12/23"
(CO) Consulta Correspondência\CO_5416,
(CO) Consulta Correspondência\CO_5416,
(CO) Consulta Correspondência\CO_5417,
(CO) Consulta Correspondência\CO_5418,
(CO) Consulta Correspondência\CO_5419,
(CO) Consulta Correspondência\CO_5420,
(CO) Consulta Correspondência\CO_5421,"COD_TIPO: CO
NUM_ANTDOC: 5421
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Karel Unger
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Apresenta-se como um holandês, em viagem de negócios a Salvador, desejando obter informações sobre a obra ""L'Exode"" (nº 55, no catálogo de exposição em Paris), para um amigo de Amsterdam.
DATA_INICIO: 1958/03/08"
(CO) Consulta Correspondência\CO_5422,
(CO) Consulta Correspondência\CO_5423,
(CO) Consulta Correspondência\CO_5424,"COD_TIPO: CO
NUM_ANTDOC: 5424
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Ione Ulrich
ONOMÁSTICO: Francis E. Brennan
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Avisa ter depositado para Portinari, no Chase National Bank, a quantia estipulada pelo artista, através do sr. Brennan, da revista ""Fortune"", como pagamento da obra ""Morro"", adquirida pelo Museum of Modern Art de Nova York.
DATA_INICIO: 1940/03/08"
(CO) Consulta Correspondência\CO_5425,
(CO) Consulta Correspondência\CO_5425,
(CO) Consulta Correspondência\CO_5426,
(CO) Consulta Correspondência\CO_5427,"COD_TIPO: CO
NUM_ANTDOC: 5427
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Candido Portinari
ONOMÁSTICO: null
DESTINATARIO: José Pancetti
MEMO_RESUMO: Agradece a colaboração de Pancetti na colocação do painel ""Chegada da Família Real Portuguesa à Bahia"" e comenta seu estado de saúde.
DATA_INICIO: 1953/  /"
(CO) Consulta Correspondência\CO_5428,
(CO) Consulta Correspondência\CO_5429,"COD_TIPO: CO
NUM_ANTDOC: 5429
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: William H. Ukers
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: O editor do jornal comenta estar preparando um artigo sobre a carreira de Portinari e o uso do tema café em sua obra. Para tanto solicita reproduções de determinadas obras com esse tema. Mostra-se interessado nos desenhos para o Ministério da Educação, perguntando se algum deles focaliza o café.
DATA_INICIO: 1940/11/19"
(CO) Consulta Correspondência\CO_5430,"COD_TIPO: CO
NUM_ANTDOC: 5430
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Bilhete
REMETENTE: Julio Senna
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Auroriza Portinari a entregar o quadro ""José Bonifácio"" ao portador.
DATA_INICIO: 1958/02/24"
(CO) Consulta Correspondência\CO_5432,"COD_TIPO: CO
NUM_ANTDOC: 5432
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Clara Cova Ughetti
ONOMÁSTICO: Graciliano Ramos
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Apresenta-se ao pintor, solicitando autorização (e envio de fotografia) para reprodução da obra ""Retirantes"", como ilustração de texto sobre Graciliano Ramos e o livro ""Vidas secas"", em uma antologia de escritores modernos brasileiros que ela, Clara, está escrevendo. Pede sugestão de obra para ilustrar a capa do livro, elogiando os trabalhos do pintor, que viu, em viagem ao Brasil, no Rio de Janeiro e em Belo Horizonte (Pampulha).
DATA_INICIO: 1961/03/12"
(CO) Consulta Correspondência\CO_5433,"COD_TIPO: CO
NUM_ANTDOC: 5433
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Claude Serbanne
ONOMÁSTICO: Joan Miró
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Apresenta-se a Portinari, informando-lhe estar preparando estudos sobre os principais representantes da arte moderna, em colaboração com René Renne. Desejando consagrar-lhe um de seus estudos, pede que Portinari responda algumas perguntas, de modo a dar-lhe subsídios para o estudo de sua obra. Analisa e elogia a obra ""Morro"".
DATA_INICIO: 1945/09/25"
(CO) Consulta Correspondência\CO_5433,
(CO) Consulta Correspondência\CO_5434,
(CO) Consulta Correspondência\CO_5434,
(CO) Consulta Correspondência\CO_5435,
(CO) Consulta Correspondência\CO_5435,
(CO) Consulta Correspondência\CO_5435,
(CO) Consulta Correspondência\CO_5436,"COD_TIPO: CO
NUM_ANTDOC: 5436
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Betty Chamberlain
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Comenta assuntos pessoais. Relata um telefonema da Marie Harriman Gallery, informando que seria deixada uma caixa de trabalhos de Portinari em consignação com ela, Maria Sermolino, antes de ser fechada a galeria. Diz que está com estes trabalhos e com os que estavam com Betty Chamberlain, pois Betty não deseja mais vender trabalhos de artista algum, já que está trabalhando no MoMA. Comenta carta de Robert Smith, tratando dos murais da Biblioteca do Congresso.
DATA_INICIO: 1942/08/03"
(CO) Consulta Correspondência\CO_5436,
(CO) Consulta Correspondência\CO_5437,
(CO) Consulta Correspondência\CO_5438,
(CO) Consulta Correspondência\CO_5438,
(CO) Consulta Correspondência\CO_5439,"COD_TIPO: CO
NUM_ANTDOC: 5439
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Earl Brown
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Acusa recebimento de carta. Diz não estar surpresa com o sucesso da exposição de Portinari (em Paris). Pede catálogo e recortes de jornal. Concorda com uma crítica do Balé Iara que diz serem os cenários e os figurinos de Portinari a parte mais interessante do balé. Trata do embarque de determinadas obras do artista, especificando as obras que estão com Margit Varga, com ela (Maria Sermolino) e com Earl Brown. Deseja saber se são obras para venda, já que gostariam de comprá-las. Avisa que recebeu um pagamento do San Francisco Museum mas não enviou ainda por causa da guerra. Comenta assuntos pessoais.
DATA_INICIO: 1947/01/15"
(CO) Consulta Correspondência\CO_5440,"COD_TIPO: CO
NUM_ANTDOC: 5440
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Earl Brown
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Mostra-se contente por Portinari ter voltado à sua terra natal. Trata de assuntos referentes ao embarque de obras de Portinari. Comenta assuntos pessoais.
DATA_INICIO: 1949/01/28"
(CO) Consulta Correspondência\CO_5441,"COD_TIPO: CO
NUM_ANTDOC: 5441
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Florence Horn
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Mostra-se feliz com os dias passados no Rio, comparando o estado de espírito local em contraste com a guerra na Europa. Comenta o sucesso de seu retrato e o da Florence. Diz que o retrato que Portinari fez de Helena Rubinstein aparecerá em artigo da revista ""Vogue"", comentando gostar muito de uma obra que ela tem. Conta que ela e Florence querem conseguir fazer publicar um artigo sobre a exposição de Detroit. Relata a viagem de navio, agradecendo a hospitalidade dos Portinaris.
DATA_INICIO: 1940/05/30"
(CO) Consulta Correspondência\CO_5441,
(CO) Consulta Correspondência\CO_5442,
(CO) Consulta Correspondência\CO_5443,
(CO) Consulta Correspondência\CO_5443,
(CO) Consulta Correspondência\CO_5444,"COD_TIPO: CO
NUM_ANTDOC: 5444
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Florence Horn
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Mostra-se entusiasmada com a ida dos Portinaris a Nova York. Avisa estar escrevendo em italiano, por achar mais fácil de ser compreendida, mas, se preferirem em inglês, é só informar. Diz estar enviando crítica publicada na revista ""Time"", focalizando a exposição do Riverside Museum, destacando Portinari. Comenta a intenção do Museum of Modern Art de Nova York de expor seu retrato, pintado por Portinari.
DATA_INICIO: 1940/08/08"
(CO) Consulta Correspondência\CO_5444,
(CO) Consulta Correspondência\CO_5445,
(CO) Consulta Correspondência\CO_5445,
(CO) Consulta Correspondência\CO_5446,"COD_TIPO: CO
NUM_ANTDOC: 5446
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Florence Horn
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Diz que não conseguiu as passagens para o Rio de Janeiro. Aconselha que os Portinaris procurem Nelson Rockefeller ou o Departamento de Estado, que poderão ajudá-los. Mostra-se ansiosa para ver os murais (da Biblioteca do Congresso)
DATA_INICIO: 1941/12/12"
(CO) Consulta Correspondência\CO_5446,
(CO) Consulta Correspondência\CO_5447,
(CO) Consulta Correspondência\CO_5447,
(CO) Consulta Correspondência\CO_5448,
(CO) Consulta Correspondência\CO_5448,
(CO) Consulta Correspondência\CO_5449,
(CO) Consulta Correspondência\CO_5449,
(CO) Consulta Correspondência\CO_5450,"COD_TIPO: CO
NUM_ANTDOC: 5450
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Maria Sermolino
ONOMÁSTICO: Archibald MacLeish
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Informa que, através de Florence Horn, mantém-se a par das atividades de Portinari em Washington e do entusiasmo de MacLeish com os estudos dos painéis. Pergunta pelas ilustrações do livro ""Maria Rosa"".
DATA_INICIO: 1941/  /"
(CO) Consulta Correspondência\CO_5451,
(CO) Consulta Correspondência\CO_5451,
(CO) Consulta Correspondência\CO_5452,
(CO) Consulta Correspondência\CO_5452,
(CO) Consulta Correspondência\CO_5453,
(CO) Consulta Correspondência\CO_5453,
(CO) Consulta Correspondência\CO_5454,
(CO) Consulta Correspondência\CO_5454,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5455,
(CO) Consulta Correspondência\CO_5456,
(CO) Consulta Correspondência\CO_5456,
(CO) Consulta Correspondência\CO_5457,
(CO) Consulta Correspondência\CO_5457,
(CO) Consulta Correspondência\CO_5457,
(CO) Consulta Correspondência\CO_5458,
(CO) Consulta Correspondência\CO_5458,
(CO) Consulta Correspondência\CO_5458,
(CO) Consulta Correspondência\CO_5458,
(CO) Consulta Correspondência\CO_5459,"COD_TIPO: CO
NUM_ANTDOC: 5459
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: David Shaltiel
ONOMÁSTICO: null
DESTINATARIO: Maria Portinari
MEMO_RESUMO: Agradece pelo prazer espiritual que as obras de Portinari, que possui, lhe proporcionam. Promete enviar fotos de duas obras. David diz esperar reencontrar o pintor em Israel, por ocasião de sua exposição naquele país.
DATA_INICIO: 1955/12/16"
(CO) Consulta Correspondência\CO_5459,
(CO) Consulta Correspondência\CO_5460,
(CO) Consulta Correspondência\CO_5461,
(CO) Consulta Correspondência\CO_5462,"COD_TIPO: CO
NUM_ANTDOC: 5462
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE:  Foujita
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Diz ter encontrado uma grande sala em São Paulo, one exporá a partir de 4 de março. Diz ter esquecido, provavelmente na cozinha de Portinari, um martelo (desenhado na carta) que possui há 18 anos. Pede que Portinari o envie, se encontrá-lo.
DATA_INICIO: 1932/  /"
(CO) Consulta Correspondência\CO_5462,
(CO) Consulta Correspondência\CO_5463,"COD_TIPO: CO
NUM_ANTDOC: 5463
PAGINAÇÃO: 
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: null
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Informa estar enviando, anexo, cheque para pagamento da obra ""Caraja Indianerin"", adquirida na exposição realizada na Haus der Kunst, em 1959.
DATA_INICIO: 1961/06/13"
(CO) Consulta Correspondência\CO_5464,"COD_TIPO: CO
NUM_ANTDOC: 5464
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE:  Foujita
ONOMÁSTICO: Tadashi Kaminagai
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Cumprimenta Portinari, comenta assuntos pessoais e apresenta o artista Kaminagai, pedindo-lhe que o acolha gentilmente.
DATA_INICIO: 1941/02/25"
(CO) Consulta Correspondência\CO_5464,
(CO) Consulta Correspondência\CO_5465,"COD_TIPO: CO
NUM_ANTDOC: 5465
PAGINAÇÃO: 2 p.
TIPO CORRESPONDÊNCIA: Carta
REMETENTE: Harlow Shapley
ONOMÁSTICO: null
DESTINATARIO: Candido Portinari
MEMO_RESUMO: Convida Portinari a participar da Cultural and Scientific Conference for World Peace, em Nova York, de 25 a 27 de março de 1949.
DATA_INICIO: 1949/02/04"
(CO) Consulta Correspondência\CO_5465,
(CO) Consulta Correspondência\CO_5465,
(CO) Consulta Correspondência\CO_5465,
(CO) Consulta Correspondência\CO_5465,
(CO) Consulta Correspondência\CO_5465,
